Medicaid_ID,Member_Name_Last,Member_Name_First,Member_Middle_Initial,Member_Suffix,Member_Date_of_Birth,ACO_Name,FS_Delivery_Entity,Transportation_Received,Demo_Gender,Demo_Sexual_Orientation,Demo_Race,Demo_Language,Demo_Education,Demo_Employment,Service Category,Submission Due Date,Domain
111111111111,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,8/6/81,AHP MVACO,MVCP,No,Woman,Straight,"Hispanic, Latino, or Spanish",Spanish,High school diploma or GED,Unemployed,TENANCY_SUSTAINING,6/30/20,Housing
111111111112,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,4/12/82,AHP MVACO,MVCP,No,Woman,Straight,"Hispanic, Latino, or Spanish",Spanish,High school diploma or GED,Unemployed,TENANCY_SUSTAINING,6/30/20,Housing
111111111113,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,3/25/89,AHP MVACO,MVCP,No,Woman,Straight,"Hispanic, Latino, or Spanish",English                     ,Bachelor's Degree,Prefer not to say ,TENANCY_SUSTAINING,6/30/20,Housing
111111111114,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,Jr,2/28/81,AHP MVACO,MVCP,No,Woman,Straight,"Hispanic, Latino, or Spanish",Spanish,Some College,Unemployed,TENANCY_SUSTAINING,6/30/20,Housing
111111111115,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,6/26/84,AHP MVACO,MVCP,No,Woman,Straight,"Hispanic, Latino, or Spanish",Spanish,Did not finish high school,Unemployed,TENANCY_SUSTAINING,6/30/20,Housing
111111111116,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,6/26/84,AHP MVACO,MVCP,No,Woman,Straight,"Some other race, ethnicity, or origin ",English                     ,Did not finish high school,Unemployed,NUTRITION,6/30/20,Nutrition
111111111117,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,8/6/81,AHP MVACO,MVCP,No,Woman,Straight,"Hispanic, Latino, or Spanish",Spanish,High school diploma or GED,Unemployed,NUTRITION,6/30/20,Nutrition
111111111118,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,7/23/76,AHP MVACO,MVCP,No,Woman,Straight,"Hispanic, Latino, or Spanish",Spanish,Some College,Unemployed,NUTRITION,6/30/20,Nutrition
111111111119,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,5/3/79,AHP MVACO,MVCP,No,Woman,Straight,"Hispanic, Latino, or Spanish",Spanish,Bachelor's Degree,Employed Full-Time,NUTRITION,6/30/20,Nutrition
111111111120,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,Jr,11/7/64,AHP MVACO,MVCP,No,Woman,Prefer not to say,"Hispanic, Latino, or Spanish",Spanish,Other,Prefer not to say ,TENANCY_SUSTAINING,12/31/20,Housing
111111111121,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,6/5/09,AHP MVACO,MVCP,No,Man,Prefer not to say,"Hispanic, Latino, or Spanish",Spanish,Other,Student,TENANCY_SUSTAINING,12/31/20,Housing
111111111122,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,9/3/06,AHP MVACO,MVCP,No,Man,Prefer not to say,"Hispanic, Latino, or Spanish",Spanish,Other,Student,TENANCY_SUSTAINING,12/31/20,Housing
111111111123,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,2/2/94,AHP MVACO,MVCP,No,Woman,Straight,White,English                     ,Some College,Unemployed,TENANCY_SUSTAINING,12/31/20,Housing
111111111124,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,5/29/64,AHP MVACO,MVCP,No,Woman,Straight,"Hispanic, Latino, or Spanish",Spanish,High school diploma or GED,Employed Part-Time,TENANCY_SUSTAINING,12/31/20,Housing
111111111125,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,8/13/00,AHP MVACO,MVCP,No,Man,Straight,"Hispanic, Latino, or Spanish",English                     ,High school diploma or GED,Unemployed,TENANCY_SUSTAINING,12/31/20,Housing
111111111126,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,4/10/69,AHP MVACO,MVCP,No,Woman,Prefer not to say,White,Spanish,Did not finish high school,Not in Labor Force,TENANCY_SUSTAINING,12/31/20,Housing
111111111127,Aaaaaaaa,Aaaaaaaa,Aaaaaaaa,,6/16/67,AHP MVACO,MVCP,No,Woman,Straight,"Hispanic, Latino, or Spanish",Spanish,Other,Employed Part-Time,TENANCY_SUSTAINING,12/31/20,Housing
